iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,rank
QAT,Qatar,2019,115.037,40.619,-38.34,2.305,0.814,,,1.154,0.408,94.564,33.39,17.014,6.008,,,7.58,8.11,,0.215,76.696,27.081,,1987.917,33.143,,167.395,1467.121,320.259,,-33.33,0.31,0.14,,0.27,1.25,0.14,,0.12,0.08,,0.96,0.62,0.06,,,,,,,,,,2832071,,534.728,188811.823,,1
NCL,New Caledonia,2019,8.706,30.791,,0.033,0.116,5.788,20.47,,,,,2.885,10.205,,,50.49,2.921,,0.392,,,,148.315,1.618,53.613,,,93.084,,,0.02,0,0.04,,,0.02,,0.01,0,0.01,,,0.02,,,,,,,,,,282757,,22.226,78605.589,,2
TTO,Trinidad and Tobago,2019,40.378,28.946,-10.133,0.252,0.181,,,,,35.978,25.791,4.148,2.974,,,-0.24,-0.097,,0.204,30.245,21.682,,1534.052,12.475,,,991.105,423.554,,-25.1,0.11,0.02,,,0.48,0.03,,0.09,0.03,,,0.42,0.07,,,,,,,,,,1394969,,197.438,141535.436,,3
MNG,Mongolia,2019,88.691,27.5,-15.322,0.414,0.128,83.866,26.004,,,,,4.411,1.368,,,86.57,41.154,,1.13,73.369,22.749,,698.995,5.319,583.716,,,109.96,,-17.28,0.24,0.03,0.58,,,0.04,,0.04,0.01,0.08,,,0.02,,,,,,,,,,3225166,,78.494,24337.973,,4
CUW,Curacao,2019,3.761,23.014,,,,,,,,0.124,0.758,3.637,22.256,,,-1.77,-0.068,,,,,,555.958,,,,0.915,555.042,,,0.01,,,,0,0.03,,0.03,,,,0,0.1,,,,,,,,,,163423,,,,,5
BRN,Brunei,2019,9.958,22.982,0.009,,,,,0.663,1.531,7.331,16.919,1.964,4.532,,,3.81,0.366,,0.189,9.967,23.003,,350.217,,,86.594,176.221,87.398,,0.09,0.03,,,0.15,0.1,0.02,,0.02,,,0.5,0.07,0.02,,,,,,,,,,433296,,52.705,121637.248,,6
KWT,Kuwait,2019,96.651,22.974,-6.962,1.572,0.374,,,1.729,0.411,46.263,10.996,47.088,11.192,,,1.13,1.076,,0.209,89.689,21.319,,2788.581,30.103,,282.945,969.32,1506.213,,-7.2,0.26,0.1,,0.4,0.61,0.39,,0.17,0.07,,1.63,0.41,0.26,,,,,,,,,,4207077,,463.421,110152.827,,7
BHR,Bahrain,2019,34.439,20.984,-15.485,0.524,0.319,,,,,30.2,18.402,3.715,2.264,,,5.61,1.83,,0.144,18.954,11.549,,891.343,6.801,,,674.34,210.049,,-44.96,0.09,0.03,,,0.4,0.03,,0.05,0.02,,,0.28,0.04,,,,,,,,,,1641164,,238.286,145193.282,,8
SAU,Saudi Arabia,2019,622.413,18.163,22.982,24.604,0.718,,,0.095,0.003,255.04,7.442,342.674,10,,,0.07,0.46,,0.21,645.395,18.834,,15310.869,506.021,,902.794,4501.949,9400.105,,3.69,1.7,1.53,,0.02,3.38,2.8,,0.92,1.22,,5.2,1.89,1.62,,,,,,,,,,34268529,,2966.886,86577.587,,9
SXM,Sint Maarten (Dutch part),2019,0.705,16.62,,,,,,,,,,0.705,16.62,,,-2.39,-0.017,,,,,,67.08,,,,,67.08,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,42389,,,,,10
