iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,rank
KOR,South Korea,2015,635.214,12.498,40.063,25.779,0.507,335.411,6.6,,,92.59,1.822,171.631,3.377,9.802,0.193,0.73,4.619,0.353,0.195,675.276,13.287,0.375,15123.44,810.325,6470.321,,1411.997,6278.989,151.69,6.31,1.79,1.79,2.28,,1.36,1.44,3.25,1,2.29,0.9,,0.68,1.18,1.93,635.34,12.501,685.8,13.494,25.96,0.511,10.39,0.204,50823087,1.80E+12,3264.134,64225.426,1.814,20
EST,Estonia,2015,15.859,12.057,0.71,0.206,0.156,11.269,8.568,0,0,0.915,0.696,3.403,2.587,0.066,0.05,-16.02,-3.026,0.504,0.226,16.569,12.597,0.526,1553.061,21.056,1112.869,2.842,67.946,346.529,1.82,4.48,0.04,0.01,0.08,0,0.01,0.03,0.02,0.1,0.06,0.16,0.02,0.03,0.07,0.02,11.95,9.085,18.11,13.768,1.12,0.851,1.39,1.057,1315330,31485411328,70.291,53440.071,2.233,21
MSR,Montserrat,2015,0.059,11.805,,,,,,,,,,0.059,11.805,,,23.08,0.011,,0.244,,,,1.477,,,,,1.477,,,0,,,,,0,,0,,,,,0,,,,,,,,,,4966,,0.24,48337.251,,22
TWN,Taiwan,2015,275.836,11.709,-9.922,6.313,0.268,161.226,6.844,,,37.221,1.58,69.045,2.931,2.031,0.086,-0.17,-0.475,0.285,0.203,265.914,11.288,0.275,7650.868,370.475,3712.54,,518.103,3012.849,36.901,-3.6,0.78,0.44,1.1,,0.55,0.58,0.67,0.5,1.05,0.52,,0.25,0.57,0.47,,,,,,,,,23557473,9.68E+11,1360.823,57766.079,1.406,23
,North America,2015,6612.704,11.704,326.738,73.071,0.129,1635.664,2.895,89.526,0.158,1899.522,3.362,2882.066,5.101,32.854,0.058,-2.09,-141.239,0.314,0.203,6939.442,12.282,0.33,446093.112,3687.889,180413.085,3023.497,79864.084,177774.386,1330.171,4.94,18.63,5.08,11.11,24.04,27.99,24.26,10.9,29.41,10.42,25.19,19.26,38.26,33.35,16.94,,,,,,,,,568911289,,,,,24
PLW,Palau,2015,0.205,11.615,,,,,,,,,,0.205,11.615,,,-6.67,-0.015,,,,,,9.482,,,,,9.482,,,0,,,,,0,,0,,,,,0,,0.25,14.152,0.25,14.152,0.02,1.132,0,0,17665,,,,,25
,Oceania,2015,454.01,11.47,-17.954,3.831,0.097,182.309,4.606,12.254,0.31,81.604,2.062,169.175,4.274,4.838,0.122,1.06,4.772,0.35,0.241,436.056,11.016,0.336,18666.051,212.291,10021.649,226.546,1981.54,6113.179,110.847,-3.95,1.28,0.27,1.24,3.29,1.2,1.42,1.6,1.23,0.6,1.4,1.44,0.95,1.15,1.41,,,,,,,,,39858693,,,,,26
,High-income countries,2015,13492.431,11.407,1346.6,227.803,0.193,3869.998,3.272,126.982,0.107,3660.002,3.094,5511.333,4.66,96.313,0.081,-0.3,-40.234,0.27,0.196,14839.031,12.546,0.297,901508.129,12837.076,432097.965,5781.716,127545.993,320214.375,3031.005,9.98,38.01,15.85,26.29,34.1,53.94,46.39,31.95,59.43,36.28,60.33,36.83,61.1,60.07,38.61,,,,,,,,,,,,,,27
RUS,Russia,2015,1623.1,11.195,-234.658,23.171,0.16,412.58,2.846,25.537,0.176,737.455,5.086,407.459,2.81,16.897,0.116,0.03,0.511,0.469,0.207,1388.442,9.576,0.401,107130.862,1535.331,43208.124,970.227,30243.804,30715.936,457.439,-14.46,4.57,1.61,2.8,6.86,10.87,3.43,5.6,7.06,4.34,6.03,6.18,14.49,5.76,5.83,1791.21,12.354,2475.69,17.075,837.01,5.773,57.1,0.394,144985059,3.46E+12,7841.926,54087.823,2.264,28
SGP,Singapore,2015,62.13,11.11,52.138,,,1.751,0.313,,,19.555,3.497,40.824,7.3,,,12.54,6.921,0.167,0.067,114.269,20.434,0.307,1940.477,,10.631,,231.199,1698.647,,83.92,0.18,,0.01,,0.29,0.34,,0.13,,0,,0.11,0.32,,62.51,11.178,62.56,11.187,3.84,0.687,8.52,1.524,5592143,3.73E+11,931.219,166522.807,2.499,29
SPM,Saint Pierre and Miquelon,2015,0.066,11.007,,,,,,,,,,0.066,11.007,,,0,0,,0.165,,,,3.378,,,,,2.883,,,0,,,,,0,,0,,,,,0,,,,,,,,,,5992,,0.399,66589.81,,30
AIA,Anguilla,2015,0.154,10.777,,,,,,,,,,0.154,10.777,,,10.53,0.015,,,,,,2.719,,,,,2.719,,,0,,,,,0,,0,,,,,0,,,,,,,,,,14279,,,,,31
ISL,Iceland,2015,3.536,10.708,,,,0.661,2.002,0.163,0.494,0,0.001,2.708,8.199,0.004,0.012,2.22,0.077,0.269,0.06,,,,134.581,,15.801,3.293,0.004,112.667,0.064,,0.01,,0,0.04,0,0.02,0,0.01,,0,0.02,0,0.02,0,3.25,9.841,3.33,10.084,0.56,1.696,0.41,1.242,330237,13136775168,58.684,177703.282,4.467,32
CZE,Czechia,2015,104.865,9.892,-1.762,1.558,0.147,64.743,6.107,0.192,0.018,15.909,1.501,21.268,2.006,1.195,0.113,0.74,0.77,0.354,0.225,103.103,9.725,0.348,11408.523,84.706,9379.242,8.237,582.975,1312.292,41.071,-1.68,0.3,0.11,0.44,0.05,0.23,0.18,0.4,0.75,0.24,1.31,0.05,0.28,0.25,0.52,118.65,11.192,122.29,11.535,12.73,1.201,5.57,0.525,10601390,2.97E+11,465.314,43891.752,1.569,33
DEU,Germany,2015,795.61,9.728,79.983,12.626,0.154,341.011,4.17,2.374,0.029,157.455,1.925,273.468,3.344,8.676,0.106,0.38,3.022,0.217,0.214,875.593,10.706,0.238,88939.196,1127.43,63061.253,81.305,6153.238,18271.415,244.555,10.05,2.24,0.88,2.32,0.64,2.32,2.3,2.88,5.86,3.19,8.8,0.52,2.95,3.43,3.11,818.22,10.004,847.46,10.362,56.8,0.694,36.24,0.443,81787411,3.67E+12,3721.694,45504.481,1.013,34
NLD,Netherlands,2015,164.2,9.694,-9.799,0.249,0.015,43.557,2.572,1.037,0.061,66.165,3.906,51.919,3.065,1.273,0.075,4.15,6.537,0.216,0.168,154.4,9.115,0.203,10961.716,55.675,3688.865,23.714,3523.062,3639.784,30.618,-5.97,0.46,0.02,0.3,0.28,0.98,0.44,0.42,0.72,0.16,0.52,0.15,1.69,0.68,0.39,189.7,11.199,188.33,11.118,19,1.122,8.51,0.502,16938492,7.60E+11,978.585,57772.868,1.287,35
JPN,Japan,2015,1223.396,9.559,161.039,25.936,0.203,465.629,3.638,0.425,0.003,246.429,1.925,476.372,3.722,8.607,0.067,-3.19,-40.332,0.261,0.233,1384.436,10.817,0.296,59953.164,1853.182,21564.077,13.166,5662.223,30609.607,250.908,13.16,3.45,1.8,3.16,0.11,3.63,4.01,2.85,3.95,5.24,3.01,0.08,2.71,5.74,3.2,1215.33,9.496,1265.07,9.885,21.9,0.171,18.23,0.142,127985139,4.69E+12,5256.894,41074.252,1.122,36
GRL,Greenland,2015,0.524,9.291,,,,,,,,,,0.524,9.291,,,0.57,0.003,,0.145,,,,30.367,,,,,28.193,,,0,,,,,0,,0,,,,,0.01,,,,,,,,,,56378,,3.607,63973.737,,37
GNQ,Equatorial Guinea,2015,10.834,9.272,,,,,,4.847,4.148,4.646,3.976,1.341,1.148,,,-3.08,-0.344,0.387,0.384,,,,124.056,,,63.419,39.963,20.674,,,0.03,,,1.3,0.07,0.01,,0.01,,,0.4,0.02,0,,25,21.394,21.16,18.108,13.75,11.766,0.04,0.034,1168575,28026101760,28.201,24132.993,1.006,38
LBY,Libya,2015,58.184,9.065,,1.937,0.302,,,8.541,1.331,15.671,2.442,32.034,4.991,,,-18.5,-13.207,1.086,0.323,,,,1869.815,61.265,,356.12,349.5,1101.804,,,0.16,0.13,,2.29,0.23,0.27,,0.12,0.17,,2.27,0.17,0.21,,84.88,13.225,84.88,13.225,25.91,4.037,1.89,0.294,6418315,53558087680,180.21,28077.389,3.365,39
BEL,Belgium,2015,101.056,8.952,74.484,2.348,0.208,14.438,1.279,0.088,0.008,33.824,2.996,48.188,4.269,2.169,0.192,4.32,4.188,0.232,0.152,175.539,15.551,0.404,12060.1,207.887,7459.403,2.712,1156.979,3168.846,64.273,73.71,0.28,0.16,0.1,0.02,0.5,0.41,0.72,0.8,0.59,1.04,0.02,0.55,0.59,0.82,109.16,9.671,111.52,9.88,8.54,0.757,4.79,0.424,11287931,4.35E+11,664.573,58874.679,1.528,40
,Europe (excl. EU-28),2015,2083.162,8.853,-262.05,33.76,0.144,596.116,2.533,30.656,0.13,864.254,3.673,536.817,2.281,21.558,0.092,-1.52,-32.106,0.401,0.2,1821.112,7.739,0.351,152326.882,2278.583,64852.319,1244.841,38212.566,45121.003,617.571,-12.58,5.87,2.35,4.05,8.23,12.74,4.52,7.15,10.04,6.44,9.05,7.93,18.31,8.46,7.87,,,,,,,,,,,,,,41
NOR,Norway,2015,45.616,8.773,3.389,0.672,0.129,3.964,0.762,2.545,0.49,14.079,2.708,23.909,4.598,0.447,0.086,1.19,0.538,0.106,0.087,49.005,9.424,0.114,2414.605,58.278,612.819,98.306,344.379,1292.203,8.619,7.43,0.13,0.05,0.03,0.68,0.21,0.2,0.15,0.16,0.16,0.09,0.63,0.16,0.24,0.11,29.65,5.702,48.58,9.343,5.07,0.975,3.21,0.617,5199827,4.29E+11,526.302,101215.209,1.226,42
ABW,Aruba,2015,0.898,8.604,,,,,,,,,,0.898,8.604,,,2.94,0.026,,0.166,,,,71.671,,,,,71.671,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,104339,,5.401,51762.51,,43
BMU,Bermuda,2015,0.539,8.456,,,,,,,,,,0.539,8.456,,,-19.67,-0.132,,0.216,,,,25.923,,,,,25.882,,,0,,,,,0,,0,,,,,0,,,,,,,,,,63695,,2.49,39097.117,,44
,Europe (excl. EU-27),2015,2505.502,8.319,-113.014,38.154,0.127,687.585,2.283,35.263,0.117,1011.484,3.358,708.281,2.352,24.736,0.082,-1.89,-48.307,0.329,0.198,2392.488,7.944,0.314,228620.647,2776.554,121506.373,1513.887,44409.055,57704.336,710.441,-4.51,7.06,2.65,4.67,9.47,14.91,5.96,8.21,15.07,7.85,16.96,9.64,21.28,10.83,9.05,,,,,,,,,,,,,,45
IRL,Ireland,2015,38.688,8.316,2.862,1.652,0.355,9.332,2.006,0,0,8.888,1.91,18.235,3.92,0.579,0.125,4.82,1.779,0.152,0.224,41.549,8.931,0.163,2034.952,62.503,846.132,0.096,241.843,869.979,14.399,7.4,0.11,0.11,0.06,0,0.13,0.15,0.19,0.13,0.18,0.12,0,0.12,0.16,0.18,61.1,13.133,63.35,13.617,15.86,3.409,9.36,2.012,4652420,2.55E+11,172.544,37086.977,0.677,46
POL,Poland,2015,313.419,8.24,-22.885,6.342,0.167,201.647,5.302,4.737,0.124,30.634,0.805,65.674,1.727,4.385,0.115,1.01,3.139,0.338,0.284,290.534,7.639,0.313,26245.746,379.193,22072.212,87.937,1012.067,2575.31,119.028,-7.3,0.88,0.44,1.37,1.27,0.45,0.55,1.45,1.73,1.07,3.08,0.56,0.48,0.48,1.52,339.15,8.917,366.25,9.63,47.48,1.248,20.68,0.544,38034076,9.28E+11,1103.783,29020.887,1.189,47
ZAF,South Africa,2015,450.572,8.135,-129.163,5.205,0.094,386.457,6.978,,,9.966,0.18,48.944,0.884,,,-6.25,-30.056,0.686,0.318,321.408,5.803,0.489,18843.258,222.441,16361.223,,146.157,2113.438,,-28.67,1.27,0.36,2.63,,0.15,0.41,,1.24,0.63,2.28,,0.07,0.4,,507.48,9.163,501.09,9.047,44.6,0.805,18.23,0.329,55386369,6.57E+11,1414.572,25540.076,2.154,48
FIN,Finland,2015,44.126,8.051,20.978,0.462,0.084,16.836,3.072,0.109,0.02,4.728,0.863,21.308,3.888,0.684,0.125,-7.38,-3.518,0.219,0.139,65.104,11.878,0.322,2971.517,45.083,1165.017,2.133,215.953,1519.083,24.247,47.54,0.12,0.03,0.11,0.03,0.07,0.18,0.23,0.2,0.13,0.16,0.01,0.1,0.28,0.31,-1.07,-0.195,53.55,9.77,4.6,0.839,4.68,0.854,5481128,2.02E+11,316.533,57749.628,1.568,49
IRN,Iran,2015,628.626,8.009,-37.886,20.9,0.266,4.302,0.055,27.758,0.354,356.769,4.545,218.897,2.789,,,-2.06,-13.216,0.49,0.228,590.741,7.526,0.461,15379.263,413.903,190.317,1628.931,4979.339,8166.773,,-6.03,1.77,1.45,0.03,7.45,5.26,1.84,,1.01,1.17,0.03,10.38,2.39,1.53,,786.5,10.02,786.5,10.02,139.18,1.773,36.38,0.463,78492208,1.28E+12,2758.947,35149.316,2.151,50
ISR,Israel,2015,62.975,7.893,16.103,2.233,0.28,25.089,3.145,,,13.785,1.728,21.868,2.741,,,4.35,2.623,0.252,0.222,79.078,9.911,0.316,2080.31,75.402,693.361,,95.457,1216.09,,25.57,0.18,0.16,0.17,,0.2,0.18,,0.14,0.21,0.1,,0.05,0.23,,89.46,11.213,89.51,11.219,11.58,1.451,2.25,0.282,7978496,2.50E+11,283.708,35559.103,1.134,51
NZL,New Zealand,2015,36.071,7.817,2.686,0.621,0.134,5.47,1.185,1.377,0.298,8.431,1.827,19.379,4.2,0.794,0.172,1.52,0.54,0.235,0.146,38.758,8.399,0.252,1709.65,31.319,600.867,24.101,285.515,747.973,19.875,7.45,0.1,0.04,0.04,0.37,0.12,0.16,0.26,0.11,0.09,0.08,0.15,0.14,0.14,0.25,64.97,14.079,81.69,17.703,32.81,7.11,15.06,3.264,4614527,1.54E+11,246.505,53419.384,1.604,52
MNG,Mongolia,2015,23.243,7.752,0.516,0.182,0.061,19.697,6.569,,,,,3.364,1.122,,,-21.44,-6.343,0.626,0.409,23.759,7.924,0.64,503.175,3.999,404.847,,,94.329,,2.22,0.07,0.01,0.13,,,0.03,,0.03,0.01,0.06,,,0.02,,48.92,16.315,45.71,15.245,16.03,5.346,12.27,4.092,2998433,37107212288,56.882,18970.546,1.533,53
MYS,Malaysia,2015,231.844,7.659,4.393,8.981,0.297,66.318,2.191,3.144,0.104,77.211,2.551,76.189,2.517,,,-5.31,-12.989,0.346,0.209,236.237,7.804,0.352,4747.346,202.628,714.928,247.355,1347.186,2235.248,,1.89,0.65,0.62,0.45,0.84,1.14,0.64,,0.31,0.57,0.1,1.58,0.65,0.42,,191.89,6.339,297.97,9.843,47.97,1.585,11.78,0.389,30270965,6.70E+11,1110.174,36674.557,1.657,54
AUT,Austria,2015,66.352,7.645,25.592,1.701,0.196,14.373,1.656,0.162,0.019,15.959,1.839,33.01,3.804,1.147,0.132,3.41,2.191,0.185,0.173,91.943,10.594,0.256,5173.532,129.04,2667.499,4.03,636.037,1708.025,28.9,38.57,0.19,0.12,0.1,0.04,0.24,0.28,0.38,0.34,0.36,0.37,0.03,0.3,0.32,0.37,68.41,7.883,75.48,8.697,6.88,0.793,3.68,0.424,8678667,3.59E+11,384.53,44307.487,1.071,55
,Europe,2015,5594.384,7.521,373.355,108.133,0.145,1699.63,2.285,57.2,0.077,1709.969,2.299,1957.909,2.632,61.544,0.083,0.08,4.627,0.245,0.19,5967.739,8.023,0.261,503975.9,8353.971,277237.821,2148.572,72750.237,141682.539,1802.761,6.67,15.76,7.52,11.55,15.36,25.2,16.48,20.41,33.22,23.61,38.71,13.68,34.85,26.58,22.96,,,,,,,,,744222365,,22978.371,30875.679,,56
VGB,British Virgin Islands,2015,0.213,7.291,,,,,,,,,,0.213,7.291,,,0,0,,0.284,,,,4.661,,,,,4.661,,,0,,,,,0,,0,,,,,0,,,,,,,,,,29148,,0.747,25612.946,,57
GRC,Greece,2015,74.961,7.032,-11.706,3.467,0.325,29.993,2.814,0.004,0,6.035,0.566,34.973,3.281,0.489,0.046,-4.7,-3.701,0.311,0.245,63.255,5.934,0.262,3737.665,262.402,1524.531,0.37,109.025,1819.094,22.243,-15.62,0.21,0.24,0.2,0,0.09,0.29,0.16,0.25,0.74,0.21,0,0.05,0.34,0.28,89.58,8.404,88.18,8.272,9.72,0.912,4.43,0.416,10659737,2.41E+11,305.77,28684.618,1.267,58
CHN,China,2015,9848.42,7,-1167.839,721.995,0.513,7266.979,5.165,,,366.649,0.261,1327.578,0.944,165.219,0.117,-1.37,-137.164,0.589,0.28,8680.58,6.17,0.52,184475.244,10831.768,140878.149,,3556.605,25308.092,3870.017,-11.86,27.74,50.23,49.37,,5.4,11.17,54.8,12.16,30.61,19.67,,1.7,4.75,49.29,11149.68,7.925,11859.29,8.43,1237.79,0.88,543.19,0.386,1406847868,1.67E+13,35148.307,24983.73,2.103,59
,European Union (27),2015,3088.882,6.977,486.369,69.979,0.158,1012.045,2.286,21.937,0.05,698.485,1.578,1249.628,2.823,36.808,0.083,1.74,52.934,0.203,0.184,3575.251,8.076,0.234,275355.253,5577.416,155731.449,634.684,28341.182,83978.203,1092.32,15.75,8.7,4.87,6.88,5.89,10.29,10.52,12.21,18.15,15.76,21.74,4.04,13.58,15.75,13.91,,,,,,,,,,,16764.915,37870.077,,60
,European Union (28),2015,3511.222,6.904,635.405,74.373,0.146,1103.514,2.17,26.543,0.052,845.715,1.663,1421.092,2.794,39.986,0.079,1.06,36.733,0.199,0.185,4146.627,8.154,0.235,351649.018,6075.388,212385.503,903.731,34537.671,96561.536,1185.19,18.1,9.89,5.17,7.5,7.13,12.46,11.96,13.26,23.18,17.17,29.65,5.76,16.55,18.12,15.1,,,,,,,,,,,,,,61
BGR,Bulgaria,2015,48.276,6.705,-7.13,1.105,0.154,27.68,3.845,0.6,0.083,5.932,0.824,11.678,1.622,1.28,0.178,6.76,3.059,0.403,0.218,41.146,5.715,0.343,3614.821,98.831,2038.579,5.422,307.989,1144.423,19.576,-14.77,0.14,0.08,0.19,0.16,0.09,0.1,0.42,0.24,0.28,0.28,0.03,0.15,0.21,0.25,45.2,6.278,57.31,7.96,7.39,1.026,4,0.556,7199739,1.20E+11,221.684,30790.508,1.849,62
