iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,rank
CUW,Curacao,2015,6.925,43.322,,,,,,,,0.275,1.719,6.65,41.602,,,8.06,0.517,,,,,,538.142,,,,0.275,537.867,,,0.02,,,,0,0.06,,0.04,,,,0,0.1,,,,,,,,,,159850,,,,,1
QAT,Qatar,2015,90.137,35.132,-32.225,2.403,0.937,,,1.381,0.538,83.704,32.624,2.649,1.032,,,-0.31,-0.281,0.24,0.152,57.912,22.572,0.154,1577.29,23.398,,162.375,1115.067,276.45,,-35.75,0.25,0.17,,0.37,1.23,0.02,,0.1,0.07,,1.03,0.53,0.05,,92.46,36.037,92.46,36.037,7.69,2.997,0.87,0.339,2565708,3.75E+11,591.285,230456.662,1.577,2
TTO,Trinidad and Tobago,2015,45.122,32.928,-15.097,0.326,0.238,,,,,39.663,28.944,5.133,3.746,,,-2.64,-1.223,1.202,0.203,30.024,21.91,0.8,1373.197,11.431,,,849.061,405.787,,-33.46,0.13,0.02,,,0.58,0.04,,0.09,0.03,,,0.41,0.08,,25.71,18.762,25.6,18.682,1.25,0.912,0.38,0.277,1370332,37523337216,222.302,162224.952,5.924,3
KWT,Kuwait,2015,91.349,23.816,-5.142,1.083,0.282,,,1.729,0.451,39.067,10.185,49.47,12.898,,,21.02,15.867,0.326,0.204,86.207,22.476,0.308,2400.351,23.851,,275.833,796.692,1303.975,,-5.63,0.26,0.08,,0.46,0.58,0.42,,0.16,0.07,,1.76,0.38,0.24,,106.21,27.691,106.22,27.693,5.76,1.502,0.7,0.183,3835588,2.80E+11,448.497,116930.425,1.603,4
BHR,Bahrain,2015,32.47,23.669,-15.359,0.454,0.331,,,,,28.238,20.584,3.778,2.754,,,5.36,1.652,0.579,0.16,17.112,12.473,0.305,760.33,4.74,,,560.571,194.865,,-47.3,0.09,0.03,,,0.42,0.03,,0.05,0.01,,,0.27,0.04,,46.95,34.224,46.95,34.224,13.93,10.154,0.08,0.058,1371853,56045613056,203.608,148418.343,3.633,5
ARE,United Arab Emirates,2015,216.583,23.382,12.589,7.16,0.773,6.504,0.702,2.004,0.216,134.157,14.483,66.758,7.207,,,7.26,14.656,0.313,0.175,229.172,24.741,0.331,3853.322,113.418,35.977,410.161,2242.986,1050.78,,5.81,0.61,0.5,0.04,0.54,1.98,0.56,,0.25,0.32,0.01,2.61,1.07,0.2,,252.85,27.297,252.85,27.297,49.54,5.348,6.77,0.731,9262896,6.92E+11,1240.01,133868.524,1.793,6
SAU,Saudi Arabia,2015,674.878,21.278,27.569,29.67,0.935,,,0.077,0.002,230.019,7.252,415.113,13.088,,,10.78,65.673,0.416,0.224,702.447,22.147,0.433,12788.069,403.405,,902.428,3500.2,7982.036,,4.08,1.9,2.06,,0.02,3.39,3.49,,0.84,1.14,,5.75,1.68,1.5,,660.37,20.82,660.37,20.82,41.77,1.317,5.69,0.179,31717676,1.62E+12,3005.685,94763.731,1.853,7
SXM,Sint Maarten (Dutch part),2015,0.755,18.885,,,,,,,,,,0.755,18.885,,,3,0.022,,,,,,64.141,,,,,64.141,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,39967,,,,,8
NCL,New Caledonia,2015,4.736,17.473,,0.043,0.158,1.878,6.929,,,,,2.815,10.387,,,-2.81,-0.137,,0.241,,,,123.162,1.47,39.704,,,81.989,,,0.01,0,0.01,,,0.02,,0.01,0,0.01,,,0.02,,,,,,,,,,271062,,19.653,72503.598,,9
AUS,Australia,2015,403.279,16.851,-5.981,3.09,0.129,174.961,7.311,10.877,0.454,72.362,3.024,137.945,5.764,4.045,0.169,1.01,4.026,0.352,0.256,397.299,16.601,0.347,16582.643,177.391,9378.986,202.445,1688.774,5044.077,90.972,-1.48,1.14,0.21,1.19,2.92,1.07,1.16,1.34,1.09,0.5,1.31,1.29,0.81,0.95,1.16,566.47,23.669,594.58,24.844,134.07,5.602,72.65,3.036,23932499,1.15E+12,1575.636,65836.688,1.376,10
BRN,Brunei,2015,6.954,16.761,1.218,,,,,0.418,1.007,4.891,11.789,1.645,3.965,,,-22.09,-1.971,,0.142,8.172,19.696,,313.57,,,84.065,149.703,79.798,,17.51,0.02,,,0.11,0.07,0.01,,0.02,,,0.54,0.07,0.01,,16.27,39.213,15.88,38.273,9.49,22.872,0.15,0.362,414914,,48.963,118006.602,,11
USA,United States,2015,5371.771,16.741,327.918,39.907,0.124,1504.946,4.69,61.546,0.192,1495.321,4.66,2239.49,6.979,30.56,0.095,-2.73,-151.037,0.318,0.21,5699.688,17.763,0.337,390923.236,2544.762,169660.741,1905.687,68581.37,146975.624,1255.052,6.1,15.13,2.78,10.23,16.53,22.04,18.85,10.14,25.77,7.19,23.69,12.14,32.86,27.57,15.99,5586.69,17.411,6003.65,18.71,618.27,1.927,243.84,0.76,320878312,1.69E+13,25579.485,79717.092,1.513,12
LUX,Luxembourg,2015,9.348,16.494,14.304,0.329,0.581,0.288,0.508,0,0,1.828,3.226,6.826,12.044,0.076,0.134,-4.96,-0.488,0.292,0.218,23.652,41.733,0.74,707.837,17.979,356.662,0.001,65.613,265.845,1.737,153.02,0.03,0.02,0,0,0.03,0.06,0.03,0.05,0.05,0.05,0,0.03,0.05,0.02,9.81,17.309,10.05,17.733,0.55,0.97,0.3,0.529,566741,31975024640,42.905,75704.659,1.342,13
KAZ,Kazakhstan,2015,288.582,16.423,-42.918,3.457,0.197,169.796,9.663,16.101,0.916,52.976,3.015,41.93,2.386,4.322,0.246,3.42,9.55,0.682,0.379,245.664,13.98,0.58,12407.162,101.754,8315.629,442.629,916.561,2567.113,63.475,-14.87,0.81,0.24,1.15,4.32,0.78,0.35,1.43,0.82,0.29,1.16,2.82,0.44,0.48,0.81,249.48,14.198,259.34,14.759,40.44,2.301,11,0.626,17572010,4.23E+11,762.073,43368.553,1.8,14
CAN,Canada,2015,573.061,15.907,4.258,6.222,0.173,77.67,2.156,16.131,0.448,211.835,5.88,258.91,7.187,2.294,0.064,0.44,2.498,0.366,0.145,577.319,16.025,0.369,30750.133,335.053,9358.017,526.407,6952.785,13502.751,75.119,0.74,1.61,0.43,0.53,4.33,3.12,2.18,0.76,2.03,0.95,1.31,3.35,3.33,2.53,0.96,844.67,23.446,707.93,19.65,95.59,2.653,42.67,1.184,36026668,1.57E+12,3962.271,109981.613,2.532,15
OMN,Oman,2015,61.856,14.495,4.676,1.851,0.434,,,2.748,0.644,48.251,11.307,9.006,2.11,,,1.94,1.18,0.382,0.184,66.532,15.591,0.411,941.359,27.432,,114.865,546.482,252.579,,7.56,0.17,0.13,,0.74,0.71,0.08,,0.06,0.08,,0.73,0.26,0.05,,76.26,17.871,76.26,17.871,5.28,1.237,0.74,0.173,4267341,1.62E+11,335.565,78635.659,2.075,16
BES,Bonaire Sint Eustatius and Saba,2015,0.326,13.272,,,,,,,,,,0.326,13.272,,,1.14,0.004,,,,,,28.68,,,,,28.68,,,0,,,,,0,,0,,,,,0.01,,,,,,,,,,24571,,,,,17
FRO,Faeroe Islands,2015,0.608,12.657,,,,,,,,,,0.608,12.657,,,1.84,0.011,,0.178,,,,27.154,,,,,26.916,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,48055,,3.41,70967.713,,18
TKM,Turkmenistan,2015,70.23,12.619,,1.259,0.226,,,,,48.859,8.779,20.112,3.614,,,3.23,2.197,0.592,0.211,,,,2072.267,29.589,,,1099.511,856.909,,,0.2,0.09,,,0.72,0.17,,0.14,0.08,,,0.53,0.16,,126.15,22.667,126.15,22.667,50.2,9.02,3.46,0.622,5565283,1.19E+11,332.822,59803.256,2.806,19
