iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,rank
CUW,Curacao,2016,5.8,36.013,,,,,,,,0.275,1.706,5.525,34.307,,,-16.24,-1.125,,,,,,543.942,,,,0.55,543.392,,,0.02,,,,0,0.05,,0.04,,,,0,0.1,,,,,,,,,,161055,,,,,1
QAT,Qatar,2016,88.907,33.494,-23.683,2.619,0.987,,,1.385,0.522,82.443,31.059,2.459,0.926,,,-1.37,-1.231,0.229,0.154,65.224,24.572,0.168,1666.196,26.018,,163.76,1197.51,278.908,,-26.64,0.25,0.18,,0.36,1.18,0.02,,0.11,0.07,,1.02,0.56,0.05,,94.7,35.677,94.7,35.677,7.89,2.972,0.92,0.347,2654379,3.89E+11,577.456,217548.298,1.486,2
TTO,Trinidad and Tobago,2016,40.052,29.075,-10.313,0.28,0.203,,,,,35.717,25.927,4.056,2.944,,,-11.24,-5.069,1.125,0.203,29.739,21.588,0.835,1413.25,11.711,,,884.778,409.843,,-25.75,0.11,0.02,,,0.51,0.03,,0.09,0.03,,,0.41,0.08,,22.97,16.674,22.84,16.58,1.26,0.915,0.39,0.283,1377563,35605774336,197.232,143174.722,5.539,3
KWT,Kuwait,2016,100.859,25.49,-5.083,1.572,0.397,,,2.114,0.534,41.595,10.512,55.578,14.046,,,10.41,9.51,0.351,0.225,95.776,24.205,0.333,2501.21,25.423,,277.947,838.287,1359.553,,-5.04,0.28,0.11,,0.55,0.6,0.46,,0.16,0.07,,1.73,0.39,0.25,,109.84,27.759,109.84,27.759,5.87,1.483,0.71,0.179,3956862,2.87E+11,448.808,113425.11,1.563,4
ARE,United Arab Emirates,2016,214.667,22.932,9.409,7.684,0.821,6.98,0.746,2.008,0.214,134.912,14.412,63.083,6.739,,,-0.88,-1.916,0.303,0.166,224.076,23.937,0.316,4067.989,121.101,42.957,412.168,2377.899,1113.863,,4.38,0.61,0.52,0.05,0.52,1.94,0.53,,0.26,0.33,0.01,2.56,1.1,0.2,,259.65,27.737,259.65,27.737,50.68,5.414,6.89,0.736,9360975,7.09E+11,1289.397,137741.765,1.818,5
BHR,Bahrain,2016,31.373,22.004,-13.296,0.489,0.343,,,,,27.172,19.058,3.712,2.603,,,-3.38,-1.097,0.531,0.154,18.076,12.678,0.306,791.703,5.229,,,587.743,198.577,,-42.38,0.09,0.03,,,0.39,0.03,,0.05,0.01,,,0.27,0.04,,47.15,33.069,47.16,33.076,14.24,9.987,0.07,0.049,1425793,59105439744,203.156,142485.985,3.437,6
SAU,Saudi Arabia,2016,639.056,19.698,29.197,28.879,0.89,,,0.081,0.002,241.863,7.455,368.234,11.35,,,-5.31,-35.822,0.387,0.21,668.254,20.598,0.405,13427.126,432.284,,902.508,3742.063,8350.27,,4.57,1.8,1.95,,0.02,3.47,3.08,,0.86,1.17,,5.61,1.73,1.53,,664.17,20.472,664.17,20.472,42.57,1.312,5.81,0.179,32443443,1.65E+12,3043.54,93810.624,1.845,7
NCL,New Caledonia,2016,5.315,19.385,,0.043,0.156,2.426,8.846,,,,,2.847,10.383,,,12.22,0.579,,0.254,,,,128.478,1.512,42.129,,,84.836,,,0.01,0,0.02,,,0.02,,0.01,0,0.01,,,0.02,,,,,,,,,,274190,,20.955,76425.999,,8
SXM,Sint Maarten (Dutch part),2016,0.762,18.674,,,,,,,,,,0.762,18.674,,,0.97,0.007,,,,,,64.903,,,,,64.903,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,40812,,,,,9
BRN,Brunei,2016,7.544,17.971,0.904,,,,,0.4,0.952,5.341,12.723,1.804,4.296,,,8.48,0.59,,0.148,8.448,20.125,,321.114,,,84.465,155.044,81.602,,11.99,0.02,,,0.1,0.08,0.02,,0.02,,,0.53,0.07,0.01,,16.57,39.472,16.18,38.543,9.28,22.106,0.15,0.357,419791,,51.142,121827.53,,10
