iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,rank
QAT,Qatar,2017,99.757,36.612,-31.964,2.515,0.923,,,1.326,0.487,87.086,31.961,8.83,3.241,,,12.2,10.851,0.253,0.178,67.793,24.881,0.172,1765.954,28.532,,165.086,1284.596,287.739,,-32.04,0.28,0.17,,0.31,1.22,0.07,,0.11,0.07,,1,0.58,0.05,,97.34,35.725,97.34,35.725,8.08,2.965,0.94,0.345,2724727,3.95E+11,560.687,205777.21,1.42,1
TTO,Trinidad and Tobago,2017,39.948,28.863,-11.889,0.26,0.188,,,,,34.574,24.98,5.114,3.695,,,-0.26,-0.104,1.148,0.191,28.059,20.273,0.807,1453.198,11.971,,,919.352,414.958,,-29.76,0.11,0.02,,,0.49,0.04,,0.09,0.03,,,0.41,0.07,,23.2,16.762,23.07,16.668,1.27,0.918,0.39,0.282,1384060,34782568448,209.285,151210.889,6.017,2
CUW,Curacao,2017,4.426,27.324,,,,,,,,0.139,0.86,4.287,26.464,,,-23.69,-1.374,,,,,,548.368,,,,0.689,547.679,,,0.01,,,,0,0.04,,0.03,,,,0,0.1,,,,,,,,,,161986,,,,,3
KWT,Kuwait,2017,95.145,23.457,-5.249,1.537,0.379,,,1.539,0.379,42.305,10.43,49.764,12.269,,,-5.67,-5.714,0.348,0.208,89.896,22.163,0.328,2596.354,26.959,,279.486,880.591,1409.317,,-5.52,0.26,0.1,,0.36,0.59,0.41,,0.16,0.07,,1.69,0.4,0.25,,111.46,27.48,111.46,27.48,5.97,1.472,0.74,0.182,4056102,2.74E+11,457.504,112793.943,1.672,4
BRN,Brunei,2017,9.552,22.503,0.46,,,,,0.802,1.89,6.822,16.072,1.927,4.54,,,26.62,2.008,,0.186,10.012,23.586,,330.666,,,85.267,161.866,83.529,,4.81,0.03,,,0.19,0.1,0.02,,0.02,,,0.52,0.07,0.01,,16.66,39.248,16.33,38.471,9.05,21.32,0.15,0.353,424481,,51.35,120970.172,,5
BHR,Bahrain,2017,32.591,21.814,-14.081,0.524,0.351,,,,,27.989,18.734,4.078,2.73,,,3.88,1.218,0.531,0.156,18.51,12.389,0.302,824.295,5.753,,,615.732,202.655,,-43.21,0.09,0.03,,,0.39,0.03,,0.05,0.01,,,0.28,0.04,,47.94,32.087,47.94,32.087,14.54,9.732,0.07,0.047,1494077,61359722496,209.011,139892.821,3.406,6
SAU,Saudi Arabia,2017,639.378,19.316,23.156,23.998,0.725,,,0.095,0.003,247.624,7.481,367.66,11.107,,,0.05,0.321,0.39,0.211,662.534,20.015,0.405,14066.504,456.283,,902.604,3989.687,8717.93,,3.62,1.78,1.6,,0.02,3.48,3.03,,0.89,1.19,,5.47,1.79,1.56,,656.08,19.82,656.08,19.82,43.37,1.31,5.69,0.172,33101182,1.64E+12,3036.162,91723.655,1.854,7
NCL,New Caledonia,2017,5.345,19.286,,0.04,0.143,2.741,9.888,,,,,2.565,9.254,,,0.56,0.03,,0.264,,,,133.823,1.552,44.87,,,87.401,,,0.01,0,0.02,,,0.02,,0.01,0,0.01,,,0.02,,,,,,,,,,277159,,20.249,73057.686,,8
SXM,Sint Maarten (Dutch part),2017,0.751,18.124,,,,,,,,,,0.751,18.124,,,-1.44,-0.011,,,,,,65.654,,,,,65.654,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,41444,,,,,9
ARE,United Arab Emirates,2017,168.831,17.796,34.396,8.033,0.847,8.072,0.851,1.403,0.148,119.959,12.644,31.364,3.306,,,-21.35,-45.835,0.232,0.131,203.227,21.421,0.28,4236.82,129.134,51.028,413.572,2497.858,1145.227,,20.37,0.47,0.54,0.06,0.33,1.69,0.26,,0.27,0.34,0.01,2.5,1.12,0.21,,269.82,28.44,269.82,28.44,51.83,5.463,7.02,0.74,9487206,7.26E+11,1292.778,136265.375,1.78,10
