iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,rank
QAT,Qatar,2018,106.927,38.44,-37.967,2.305,0.829,,,1.154,0.415,87.962,31.622,15.506,5.574,,,7.19,7.17,0.267,0.216,68.96,24.791,0.172,1872.88,30.838,,166.24,1372.558,303.245,,-35.51,0.29,0.15,,0.28,1.18,0.13,,0.12,0.08,,0.98,0.6,0.05,,99.83,35.888,99.83,35.888,8.11,2.916,0.88,0.316,2781682,4.01E+11,494.268,177686.669,1.234,1
TTO,Trinidad and Tobago,2018,40.475,29.122,-12.621,0.252,0.181,,,,,35.775,25.741,4.448,3.2,,,1.32,0.527,1.166,0.204,27.854,20.042,0.803,1493.673,12.223,,,955.127,419.406,,-31.18,0.11,0.02,,,0.48,0.04,,0.09,0.03,,,0.41,0.07,,23.03,16.57,22.9,16.477,1.28,0.921,0.39,0.281,1389841,34697351168,198.092,142528.854,5.709,2
CUW,Curacao,2018,3.829,23.526,,,,,,,,0.103,0.63,3.726,22.895,,,-13.49,-0.597,,,,,,552.197,,,,0.791,551.405,,,0.01,,,,0,0.03,,0.03,,,,0,0.1,,,,,,,,,,162753,,,,,3
KWT,Kuwait,2018,95.575,23.101,-7.584,1.572,0.38,,,1.729,0.418,42.466,10.264,49.808,12.039,,,0.45,0.431,0.345,0.209,87.991,21.268,0.318,2691.929,28.531,,281.215,923.057,1459.126,,-7.94,0.26,0.1,,0.42,0.57,0.41,,0.17,0.07,,1.66,0.4,0.26,,112.97,27.305,112.97,27.305,6.08,1.47,0.75,0.181,4137314,2.77E+11,457.808,110653.505,1.652,4
BRN,Brunei,2018,9.592,22.362,0.467,,,,,0.663,1.546,7.024,16.374,1.905,4.442,,,0.42,0.04,,0.18,10.059,23.451,,340.259,,,85.93,168.89,85.434,,4.87,0.03,,,0.16,0.09,0.02,,0.02,,,0.51,0.07,0.02,,16.95,39.514,16.62,38.745,8.83,20.585,0.15,0.35,428960,,53.408,124505.172,,5
BHR,Bahrain,2018,32.61,20.778,-14.421,0.524,0.334,,,,,28.407,18.1,3.679,2.344,,,0.06,0.018,0.521,0.154,18.188,11.589,0.291,856.904,6.277,,,644.139,206.334,,-44.22,0.09,0.03,,,0.38,0.03,,0.05,0.02,,,0.28,0.04,,48.95,31.189,48.95,31.189,14.85,9.462,0.09,0.057,1569440,62559305728,211.639,134850.235,3.383,6
NCL,New Caledonia,2018,5.785,20.663,,0.033,0.117,2.955,10.554,,,,,2.798,9.992,,,8.23,0.44,,0.256,,,,139.608,1.585,47.825,,,90.198,,,0.02,0,0.02,,,0.02,,0.01,0,0.01,,,0.02,,,,,,,,,,279986,,22.579,80641.807,,7
SAU,Saudi Arabia,2018,621.953,18.454,17.733,25.135,0.746,,,0.095,0.003,257.222,7.632,339.501,10.073,,,-2.73,-17.425,0.371,0.21,639.686,18.98,0.381,14688.456,481.418,,902.699,4246.909,9057.431,,2.85,1.7,1.6,,0.02,3.45,2.79,,0.9,1.21,,5.33,1.84,1.59,,638.12,18.934,638.12,18.934,44.17,1.311,5.75,0.171,33702757,1.68E+12,2957.136,87741.67,1.763,8
KAZ,Kazakhstan,2018,317.28,17.319,-77.8,3.891,0.212,175.205,9.564,16.682,0.911,68.982,3.766,49.54,2.704,2.98,0.163,3.04,9.371,0.684,0.353,239.48,13.072,0.516,13321.036,112.986,8831.084,494.279,1103.738,2705.935,73.014,-24.52,0.87,0.25,1.19,4.05,0.92,0.41,0.99,0.82,0.28,1.16,2.92,0.48,0.48,0.83,271.23,14.805,274.22,14.969,41.36,2.258,10.98,0.599,18319616,4.64E+11,899.881,49121.193,1.941,9
SXM,Sint Maarten (Dutch part),2018,0.722,17.212,,,,,,,,,,0.722,17.212,,,-3.9,-0.029,,,,,,66.376,,,,,66.376,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,41936,,,,,10
AUS,Australia,2018,416.001,16.708,-37.476,2.946,0.118,169.64,6.813,16.954,0.681,79.77,3.204,142.785,5.735,3.905,0.157,0.3,1.25,0.336,0.263,378.525,15.203,0.306,17829.341,186.324,9907.321,246.861,1920.905,5465.191,102.739,-9.01,1.14,0.19,1.15,4.11,1.07,1.17,1.3,1.1,0.47,1.3,1.46,0.83,0.96,1.17,619.26,24.872,615.38,24.716,139.89,5.618,77.65,3.119,24898153,1.24E+12,1582.532,63560.204,1.278,11
USA,United States,2018,5375.491,16.434,351.12,38.971,0.119,1283.532,3.924,71.008,0.217,1641.041,5.017,2316.811,7.083,24.128,0.074,3.22,167.739,0.296,0.202,5726.611,17.507,0.316,406754.502,2663.495,173662.684,2084.79,73204.945,153804.284,1334.303,6.53,14.67,2.49,8.72,17.23,22.01,19.01,8,25.03,6.67,22.86,12.32,31.79,27.02,15.25,5794.35,17.715,6023.62,18.415,623.77,1.907,251.35,0.768,327096263,1.81E+13,26566.233,81218.395,1.464,12
ARE,United Arab Emirates,2018,154.204,16.011,51.071,8.732,0.907,7.273,0.755,1.125,0.117,117.575,12.208,19.499,2.025,,,-8.66,-14.628,0.21,0.121,205.274,21.314,0.279,4391.023,137.866,58.301,414.697,2615.433,1164.727,,33.12,0.42,0.56,0.05,0.27,1.58,0.16,,0.27,0.35,0.01,2.45,1.14,0.2,,263.24,27.333,263.24,27.333,52.96,5.499,7.14,0.741,9630966,7.35E+11,1275.291,132415.717,1.735,13
LUX,Luxembourg,2018,9.568,15.835,13.647,0.369,0.612,0.269,0.445,0,0,1.609,2.662,7.244,11.988,0.077,0.128,3.32,0.307,0.273,0.207,23.215,38.421,0.663,735.759,19.07,357.513,0.001,70.559,286.648,1.967,142.63,0.03,0.02,0,0,0.02,0.06,0.03,0.05,0.05,0.05,0,0.03,0.05,0.02,9.94,16.45,10.22,16.914,0.54,0.894,0.3,0.496,604244,35015057408,46.2,76458.904,1.319,14
CAN,Canada,2018,579.47,15.63,0.972,6.98,0.188,60.253,1.625,15.645,0.422,226.647,6.113,267.812,7.224,2.133,0.058,1.78,10.11,0.347,0.144,580.443,15.656,0.348,32458.531,355.037,9563.435,571.728,7598.353,14288.295,81.682,0.17,1.58,0.45,0.41,3.8,3.04,2.2,0.71,2,0.89,1.26,3.38,3.3,2.51,0.93,763.44,20.592,724.93,19.553,95.53,2.577,44.81,1.209,37074558,1.67E+12,4010.742,108180.424,2.403,15
MNG,Mongolia,2018,47.537,14.995,-5.419,0.414,0.131,42.843,13.514,,,,,4.28,1.35,,,38.73,13.272,1.145,0.669,42.118,13.286,1.014,610.303,4.905,499.85,,,105.549,,-11.4,0.13,0.03,0.29,,,0.04,,0.04,0.01,0.07,,,0.02,,55.72,17.576,52.62,16.598,17.86,5.634,13.19,4.161,3170214,41531756544,71.096,22426.199,1.712,16
FRO,Faeroe Islands,2018,0.725,14.959,,,,,,,,,,0.725,14.959,,,2.59,0.018,,0.185,,,,29.217,,,,,28.979,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,48497,,3.926,80949.938,,17
EST,Estonia,2018,17.945,13.564,0.504,0.298,0.225,13.088,9.893,0,0,0.987,0.746,3.487,2.636,0.085,0.064,-4.49,-0.844,0.507,0.222,18.449,13.946,0.521,1607.362,21.846,1152.587,2.842,70.934,357.099,2.054,2.81,0.05,0.02,0.09,0,0.01,0.03,0.03,0.1,0.05,0.15,0.02,0.03,0.06,0.02,20.56,15.541,18.61,14.067,1.05,0.794,1.35,1.02,1322913,35409424384,80.869,61129.755,2.284,18
